ts_l_ns,ts_r_ns,delta_ms
7893739339000,7893758193000,18.854
7893775039000,7893793892000,18.853
7893810739000,7893829592000,18.853
7893846439000,7893865291000,18.852
7893882138000,7893900991000,18.853
7893917838000,7893936691000,18.853
7893953538000,7893972390000,18.852
7893989237000,7894008090000,18.853
7894024937000,7894043789000,18.852
7894060637000,7894079489000,18.852
7894096337000,7894115189000,18.852
7894132038000,7894150888000,18.85
7894167736000,7894186588000,18.852
7894203436000,7894222288000,18.852
7894239136000,7894257987000,18.851
7894274836000,7894293686000,18.85
7894310535000,7894329386000,18.851
7894346235000,7894365086000,18.851
7894381935000,7894400785000,18.85
7894417635000,7894436485000,18.85
7894453334000,7894472185000,18.851
7894489034000,7894507884000,18.85
7894524734000,7894543584000,18.85
7894560434000,7894579283000,18.849
7894596134000,7894614983000,18.849
7894631834000,7894650682000,18.848
7894667533000,7894686382000,18.849
7894703233000,7894722082000,18.849
7894738933000,7894757781000,18.848
7894774633000,7894793481000,18.848
7894810332000,7894829180000,18.848
7894846032000,7894864880000,18.848
7894881732000,7894900584000,18.852
7894917432000,7894936279000,18.847
7894953132000,7894971979000,18.847
7894988831000,7895007678000,18.847
7895024531000,7895043378000,18.847
7895060232000,7895079078000,18.846
7895095931000,7895114777000,18.846
7895131630000,7895150477000,18.847
7895167330000,7895186176000,18.846
7895203030000,7895221876000,18.846
7895238729000,7895257576000,18.847
7895274430000,7895293275000,18.845
7895310129000,7895328975000,18.846
7895345829000,7895364674000,18.845
7895381529000,7895400374000,18.845
7895417229000,7895436073000,18.844
7895452928000,7895471773000,18.845
7895488628000,7895507472000,18.844
7895524328000,7895543172000,18.844
7895560030000,7895578872000,18.842
7895595727000,7895614571000,18.844
7895631427000,7895650271000,18.844
7895667127000,7895685970000,18.843
7895702827000,7895721670000,18.843
7895738527000,7895757369000,18.842
7895774226000,7895793069000,18.843
7895809926000,7895828769000,18.843
7895845626000,7895864468000,18.842
7895881326000,7895900168000,18.842
7895917025000,7895935868000,18.843
7895952725000,7895971567000,18.842
7895988425000,7896007267000,18.842
7896024125000,7896042967000,18.842
7896059824000,7896078666000,18.842
7896095524000,7896114366000,18.842
7896131224000,7896150065000,18.841
7896166924000,7896185765000,18.841
7896202624000,7896221464000,18.84
7896238324000,7896257164000,18.84
7896274023000,7896292863000,18.84
7896309723000,7896328563000,18.84
7896345423000,7896364263000,18.84
7896381123000,7896399962000,18.839
7896416822000,7896435662000,18.84
7896452522000,7896471361000,18.839
7896488223000,7896507061000,18.838
7896523922000,7896542761000,18.839
7896559621000,7896578460000,18.839
7896595321000,7896614160000,18.839
7896631021000,7896649859000,18.838
7896666721000,7896685559000,18.838
7896702420000,7896721258000,18.838
7896738121000,7896756958000,18.837
7896773820000,7896792658000,18.838
7896809520000,7896828357000,18.837
7896845220000,7896864057000,18.837
7896880919000,7896899756000,18.837
7896916619000,7896935456000,18.837
7896952320000,7896971156000,18.836
7896988019000,7897006855000,18.836
7897023719000,7897042555000,18.836
7897059418000,7897078254000,18.836
7897095118000,7897113954000,18.836
7897130818000,7897149654000,18.836
7897166518000,7897185353000,18.835
7897202218000,7897221053000,18.835
7897237917000,7897256752000,18.835
7897273617000,7897292452000,18.835
7897309317000,7897328152000,18.835
7897345017000,7897363851000,18.834
7897380716000,7897399551000,18.835
7897416416000,7897435250000,18.834
7897452117000,7897470950000,18.833
7897487815000,7897506649000,18.834
7897523515000,7897542349000,18.834
7897559215000,7897578049000,18.834
7897594915000,7897613748000,18.833
7897630615000,7897649448000,18.833
7897666315000,7897685147000,18.832
7897702014000,7897720847000,18.833
7897737714000,7897756547000,18.833
7897773414000,7897792246000,18.832
7897809113000,7897827946000,18.833
7897844813000,7897863645000,18.832
7897880513000,7897899345000,18.832
7897916213000,7897935044000,18.831
7897951913000,7897970744000,18.831
7897987613000,7898006444000,18.831
7898023312000,7898042143000,18.831
7898059012000,7898077843000,18.831
7898094712000,7898113542000,18.83
7898130412000,7898149242000,18.83
7898166112000,7898184942000,18.83
7898201812000,7898220641000,18.829
7898237511000,7898256341000,18.83
7898273211000,7898292041000,18.83
7898308911000,7898327740000,18.829
7898344610000,7898363440000,18.83
7898380310000,7898399139000,18.829
7898416010000,7898434839000,18.829
7898451710000,7898470538000,18.828
7898487410000,7898506238000,18.828
7898523109000,7898541938000,18.829
7898558809000,7898577637000,18.828
7898594509000,7898613337000,18.828
7898630209000,7898649036000,18.827
7898665909000,7898684736000,18.827
7898701608000,7898720436000,18.828
7898737308000,7898756136000,18.828
7898773008000,7898791835000,18.827
7898808707000,7898827534000,18.827
7898844407000,7898863234000,18.827
7898880107000,7898898933000,18.826
7898915807000,7898934633000,18.826
7898951506000,7898970333000,18.827
7898987206000,7899006032000,18.826
7899022906000,7899041732000,18.826
7899058606000,7899077431000,18.825
7899094306000,7899113131000,18.825
7899130006000,7899148831000,18.825
7899165705000,7899184530000,18.825
7899201405000,7899220230000,18.825
7899237105000,7899255930000,18.825
7899272805000,7899291629000,18.824
7899308505000,7899327329000,18.824
7899344204000,7899363028000,18.824
7899379904000,7899398728000,18.824
7899415604000,7899434429000,18.825
7899451304000,7899470127000,18.823
7899487003000,7899505827000,18.824
7899522703000,7899541526000,18.823
