frame,cap,rect,detect,depth,det,mode,track,n_tracks,n_dets,total,fps
2106,14,5,16,0,N,none,0,0,0,35,28.4
2107,14,5,16,0,N,none,0,0,0,35,28.4
2108,14,5,16,0,N,none,0,0,0,35,28.9
2109,15,5,16,0,N,none,0,0,0,35,28.2
2110,14,5,18,0,N,none,0,0,0,37,27.0
2111,13,5,16,0,N,none,0,0,0,34,29.1
2112,13,5,16,0,N,none,0,0,0,34,29.5
2113,14,6,17,0,N,none,0,0,0,36,27.5
2114,12,6,17,0,N,none,0,0,0,36,27.9
2115,12,5,16,0,N,none,0,0,0,33,30.3
2116,14,5,16,0,N,none,0,0,0,35,28.5
2117,15,5,17,0,N,none,0,0,0,36,27.6
2118,11,5,17,0,N,none,0,0,0,33,30.5
2119,13,5,17,0,N,none,0,0,0,34,29.0
2120,14,5,16,0,N,none,0,0,0,35,28.8
2121,14,5,16,0,N,none,0,0,0,35,28.6
2122,14,5,16,0,N,none,0,0,0,35,28.5
2123,14,5,17,0,N,none,0,0,0,36,28.0
2124,13,5,16,0,N,none,0,0,0,35,28.8
2125,14,5,16,0,N,none,0,0,0,35,28.6
2126,14,5,16,0,N,none,0,0,0,35,28.5
2127,14,5,16,0,N,none,0,0,0,36,28.0
2128,14,5,17,0,N,none,0,0,0,36,27.6
2129,12,5,17,0,N,none,0,0,0,34,29.8
2130,14,5,17,0,N,none,0,0,0,35,28.5
2131,14,5,17,0,N,none,0,0,0,35,28.3
2132,13,5,16,0,N,none,0,0,0,34,29.3
2133,14,5,16,0,N,none,0,0,0,35,28.3
2134,13,5,16,0,N,none,0,0,0,34,29.0
2135,14,5,16,0,N,none,0,0,0,35,28.4
2136,14,5,16,0,N,none,0,0,0,35,28.7
2137,14,5,17,0,N,none,0,0,0,37,27.2
2138,12,5,17,0,N,none,0,0,0,34,29.2
2139,13,5,16,0,N,none,0,0,0,34,29.4
2140,14,6,16,0,N,none,0,0,0,36,27.4
2141,12,5,16,0,N,none,0,0,0,34,29.8
2142,14,5,16,0,N,none,0,0,0,35,28.5
2143,14,6,17,0,N,none,0,0,0,37,26.7
2144,13,6,17,0,N,none,0,0,0,36,27.6
2145,11,5,17,0,N,none,0,0,0,33,30.5
2146,13,5,17,0,N,none,0,0,0,35,28.9
2147,13,5,16,0,N,none,0,0,0,34,29.5
2148,15,5,16,0,N,none,0,0,0,35,28.3
2149,15,5,17,0,N,none,0,0,0,36,27.7
2150,14,5,16,0,N,none,0,0,0,35,28.5
2151,13,6,17,0,N,none,0,0,0,37,27.1
2152,12,6,17,0,N,none,0,0,0,35,28.8
2153,12,6,17,0,N,none,0,0,0,35,28.7
2154,11,6,16,0,N,none,0,0,0,34,29.5
2155,12,5,18,0,N,none,0,0,0,35,28.3
2156,12,5,16,0,N,none,0,0,0,34,29.7
2157,14,5,16,0,N,none,0,0,0,36,28.0
2158,13,5,16,0,N,none,0,0,0,35,28.9
2159,14,5,16,0,N,none,0,0,0,35,28.4
2160,14,5,16,0,N,none,0,0,0,35,28.3
2161,14,5,17,0,N,none,0,0,0,36,27.8
2162,13,5,16,0,N,none,0,0,0,34,29.0
2163,14,5,16,0,N,none,0,0,0,35,28.4
2164,14,5,17,0,N,none,0,0,0,36,27.5
2165,13,5,16,0,N,none,0,0,0,34,29.4
2166,14,5,16,0,N,none,0,0,0,35,28.7
2167,14,5,17,0,N,none,0,0,0,36,27.7
2168,13,5,17,0,N,none,0,0,0,35,28.8
2169,14,5,16,0,N,none,0,0,0,35,28.5
2170,14,5,17,0,N,none,0,0,0,36,27.8
2171,13,5,16,0,N,none,0,0,0,34,29.4
2172,14,5,16,0,N,none,0,0,0,35,28.6
2173,14,6,17,0,N,none,0,0,0,37,27.3
2174,12,5,16,0,N,none,0,0,0,34,29.7
2175,12,5,16,0,N,none,0,0,0,34,29.7
2176,14,5,16,0,N,none,0,0,0,35,28.3
2177,14,5,16,0,N,none,0,0,0,36,27.9
2178,13,5,17,0,N,none,0,0,0,35,28.9
2179,14,5,16,0,N,none,0,0,0,35,28.2
2180,14,5,16,0,N,none,0,0,0,36,28.1
2181,13,5,17,0,N,none,0,0,0,35,28.9
2182,14,5,16,0,N,none,0,0,0,35,28.7
2183,14,5,16,0,N,none,0,0,0,35,28.5
2184,14,5,16,0,N,none,0,0,0,35,28.3
2185,14,5,16,0,N,none,0,0,0,35,28.2
2186,15,5,17,0,N,none,0,0,0,36,27.7
2187,13,5,16,0,N,none,0,0,0,34,29.3
2188,14,5,16,0,N,none,0,0,0,36,28.0
2189,13,5,16,0,N,none,0,0,0,34,29.0
2190,14,5,17,0,N,none,0,0,0,35,28.3
2191,14,5,16,0,N,none,0,0,0,35,28.5
2192,14,6,16,0,N,none,0,0,0,36,28.0
2193,13,5,16,0,N,none,0,0,0,35,29.0
2194,14,5,16,0,N,none,0,0,0,35,28.4
2195,14,5,16,0,N,none,0,0,0,35,28.5
2196,14,5,16,0,N,none,0,0,0,35,28.4
2197,14,5,16,0,N,none,0,0,0,36,28.0
2198,13,5,16,0,N,none,0,0,0,35,28.9
2199,14,7,17,0,N,none,0,0,0,38,26.5
2200,12,6,17,0,N,none,0,0,0,35,28.6
2201,12,5,17,0,N,none,0,0,0,33,30.0
2202,14,5,17,0,N,none,0,0,0,35,28.5
2203,36,5,16,0,N,none,0,0,0,57,17.6
2204,16,5,16,0,N,none,0,0,0,37,26.9
2205,14,5,17,0,N,none,0,0,0,36,27.5
2206,13,5,16,0,N,none,0,0,0,35,28.9
2207,15,7,17,0,N,none,0,0,0,39,25.9
2208,10,5,17,0,N,none,0,0,0,32,30.8
2209,13,5,16,0,N,none,0,0,0,34,29.1
2210,14,5,16,0,N,none,0,0,0,34,29.1
2211,15,5,16,0,N,none,0,0,0,36,27.7
2212,14,5,16,0,N,none,0,0,0,35,28.7
2213,16,5,16,0,N,none,0,0,0,37,26.7
2214,12,5,16,0,N,none,0,0,0,34,29.7
2215,14,5,16,0,N,none,0,0,0,35,28.6
2216,14,5,17,0,N,none,0,0,0,36,27.5
2217,13,5,17,0,N,none,0,0,0,35,28.4
2218,13,5,16,0,N,none,0,0,0,34,29.3
2219,14,5,17,0,N,none,0,0,0,36,27.7
2220,13,5,16,0,N,none,0,0,0,34,29.1
2221,14,5,16,0,N,none,0,0,0,35,28.3
2222,14,5,16,0,N,none,0,0,0,35,28.7
2223,14,5,16,0,N,none,0,0,0,35,28.3
2224,14,5,16,0,N,none,0,0,0,35,28.4
2225,14,6,17,0,N,none,0,0,0,37,27.2
2226,12,6,17,0,N,none,0,0,0,35,28.3
2227,12,6,17,0,N,none,0,0,0,35,28.9
2228,13,6,16,0,N,none,0,0,0,35,28.4
2229,13,6,16,0,N,none,0,0,0,34,29.0
2230,13,5,16,0,N,none,0,0,0,34,29.7
2231,14,5,16,0,N,none,0,0,0,35,29.0
2232,15,5,16,0,N,none,0,0,0,35,28.5
2233,15,5,16,0,N,none,0,0,0,36,27.7
2234,15,5,16,0,N,none,0,0,0,36,27.9
2235,15,5,16,0,N,none,0,0,0,36,27.7
