iso,store_id,device_id,cpu_temp_c,hailo_temp_c,arm_clock_mhz,throttled_flags,fan_rpm
2026-06-08T11:25:10-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.152645,2400,917504,3664
2026-06-08T11:30:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.354992,2400,917504,3664
2026-06-08T11:35:09-03:00,store-pilot-01,store-pilot-01-cam-01,55.65,34.887993,2400,917504,3642
2026-06-08T11:40:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.40558,2400,917504,3657
2026-06-08T11:45:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.20323,2400,917504,3665
2026-06-08T11:50:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.25382,2400,917504,3665
2026-06-08T11:55:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.40558,2400,917504,3675
2026-06-08T12:00:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.60792,2400,917504,3667
2026-06-08T12:05:10-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.354992,2400,917504,3667
2026-06-08T12:10:09-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.506752,2400,917504,3664
2026-06-08T12:15:10-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.00089,2400,917504,3659
2026-06-08T12:20:10-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,35.798542,2400,917504,3654
2026-06-08T12:25:10-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,35.697372,2400,917504,3663
2026-06-08T12:30:10-03:00,store-pilot-01,store-pilot-01-cam-01,57.85,36.00089,2400,917504,3675
2026-06-08T12:35:10-03:00,store-pilot-01,store-pilot-01-cam-01,58.4,35.950302,2400,917504,3672
2026-06-08T12:40:10-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,36.456165,2400,917504,3680
2026-06-08T12:45:10-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,34.63506,2400,917504,3841
2026-06-08T12:50:10-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,35.697372,2400,917504,3659
2026-06-08T12:55:10-03:00,store-pilot-01,store-pilot-01-cam-01,56.2,35.292683,2400,917504,3647
2026-06-08T13:00:10-03:00,store-pilot-01,store-pilot-01-cam-01,56.75,36.304405,2400,917504,3667
2026-06-08T13:05:10-03:00,store-pilot-01,store-pilot-01-cam-01,57.3,36.304405,2400,917504,3682
