timestamp,total_w,0V8_AON,0V8_SW,1V1_SYS,1V8_SYS,3V3_ADC,3V3_DAC,3V3_SYS,3V7_WL_SW,DDR_VDD2,DDR_VDDQ,HDMI,VDD_CORE
2026-06-21T14:46:59.822,2.145,0.0031,0.2638,0.2053,0.3583,0.0014,0.0000,0.4059,0.1707,0.0109,0.0000,0.1007,0.6245
2026-06-21T14:47:00.346,2.170,0.0032,0.2627,0.2029,0.3645,0.0014,0.0000,0.4100,0.1672,0.0087,0.0000,0.1058,0.6438
2026-06-21T14:47:00.874,2.170,0.0035,0.2647,0.2160,0.3619,0.0012,0.0000,0.4131,0.1666,0.0108,0.0000,0.1071,0.6245
2026-06-21T14:47:01.502,2.172,0.0028,0.2621,0.2028,0.3568,0.0014,0.0002,0.4357,0.1781,0.0130,0.0000,0.1014,0.6181
2026-06-21T14:47:02.026,2.131,0.0032,0.2615,0.2042,0.3621,0.0012,0.0000,0.4002,0.1672,0.0119,0.0000,0.1014,0.6181
2026-06-21T14:47:02.550,2.185,0.0027,0.2659,0.2053,0.3619,0.0012,0.0008,0.4035,0.1636,0.0109,0.0000,0.1057,0.6631
2026-06-21T14:47:03.074,2.148,0.0034,0.2631,0.2049,0.3612,0.0012,0.0000,0.4075,0.1742,0.0140,0.0000,0.1007,0.6181
2026-06-21T14:47:03.598,2.126,0.0039,0.2639,0.2042,0.3604,0.0014,0.0000,0.3976,0.1710,0.0119,0.0000,0.1001,0.6112
2026-06-21T14:47:04.122,2.147,0.0035,0.2631,0.2036,0.3597,0.0014,0.0002,0.4134,0.1708,0.0163,0.0000,0.1027,0.6121
2026-06-21T14:47:04.646,2.148,0.0035,0.2624,0.2020,0.3639,0.0012,0.0002,0.4075,0.1702,0.0162,0.0000,0.1026,0.6183
2026-06-21T14:47:05.170,2.147,0.0028,0.2612,0.2014,0.3635,0.0012,0.0000,0.4067,0.1738,0.0119,0.0000,0.1001,0.6241
2026-06-21T14:47:05.694,2.142,0.0030,0.2646,0.2042,0.3657,0.0006,0.0008,0.3976,0.1666,0.0119,0.0000,0.1089,0.6178
2026-06-21T14:47:06.218,2.150,0.0028,0.2663,0.2002,0.3662,0.0012,0.0000,0.4092,0.1672,0.0141,0.0000,0.1045,0.6181
2026-06-21T14:47:06.743,2.146,0.0029,0.2623,0.2016,0.3635,0.0012,0.0008,0.4035,0.1744,0.0163,0.0000,0.1013,0.6178
2026-06-21T14:47:07.267,2.154,0.0032,0.2627,0.2053,0.3640,0.0012,0.0004,0.4157,0.1601,0.0098,0.0000,0.1008,0.6307
2026-06-21T14:47:07.791,2.158,0.0029,0.2631,0.2040,0.3636,0.0006,0.0008,0.4157,0.1630,0.0119,0.0000,0.1008,0.6319
2026-06-21T14:47:08.315,2.173,0.0030,0.2647,0.2027,0.3602,0.0006,0.0008,0.4059,0.1892,0.0151,0.0000,0.1058,0.6245
2026-06-21T14:47:08.839,2.123,0.0031,0.2639,0.2029,0.3651,0.0014,0.0000,0.3997,0.1675,0.0065,0.0000,0.1013,0.6116
2026-06-21T14:47:09.362,2.142,0.0030,0.2628,0.2040,0.3609,0.0014,0.0002,0.4092,0.1711,0.0098,0.0000,0.1020,0.6181
2026-06-21T14:47:09.886,2.152,0.0027,0.2631,0.2021,0.3577,0.0014,0.0008,0.4192,0.1750,0.0109,0.0000,0.1013,0.6181
2026-06-21T14:47:10.410,2.122,0.0036,0.2623,0.2057,0.3581,0.0012,0.0000,0.3995,0.1674,0.0108,0.0000,0.1020,0.6119
2026-06-21T14:47:10.934,2.134,0.0033,0.2631,0.2026,0.3611,0.0012,0.0000,0.4040,0.1747,0.0108,0.0000,0.1014,0.6119
2026-06-21T14:47:11.458,2.150,0.0032,0.2638,0.2026,0.3637,0.0014,0.0002,0.4166,0.1747,0.0119,0.0000,0.1007,0.6114
