timestamp,total_w,0V8_AON,0V8_SW,1V1_SYS,1V8_SYS,3V3_ADC,3V3_DAC,3V3_SYS,3V7_WL_SW,DDR_VDD2,DDR_VDDQ,HDMI,VDD_CORE
2026-06-21T14:21:14.989,3.725,0.0029,0.4468,0.4160,0.3814,0.0006,0.0004,1.1884,0.1918,0.1109,0.0009,0.1071,0.8783
2026-06-21T14:21:15.516,5.749,0.0031,0.3297,0.2202,0.3812,0.0014,0.0000,1.1816,0.1991,0.1232,0.0012,0.1058,3.2028
2026-06-21T14:21:16.040,5.587,0.0030,0.3506,0.2266,0.4210,0.0014,0.0008,1.1086,0.2106,0.1844,0.0125,0.1021,2.9657
2026-06-21T14:21:16.564,4.007,0.0030,0.3954,0.4196,0.3800,0.0006,0.0008,1.1949,0.2214,0.0554,0.0000,0.1056,1.2304
2026-06-21T14:21:17.088,4.098,0.0031,0.4478,0.4096,0.3865,0.0006,0.0008,1.1855,0.2072,0.0940,0.0009,0.1079,1.2540
2026-06-21T14:21:17.612,5.130,0.0033,0.2710,0.2523,0.4303,0.0012,0.0000,1.1125,0.2141,0.4081,0.0012,0.1051,2.3307
2026-06-21T14:21:18.136,3.953,0.0030,0.3946,0.4174,0.3939,0.0012,0.0000,1.1632,0.2001,0.0554,0.0000,0.1085,1.2153
2026-06-21T14:21:18.661,4.058,0.0029,0.4034,0.4073,0.3904,0.0012,0.0000,1.1888,0.1964,0.1147,0.0012,0.1045,1.2474
2026-06-21T14:21:19.185,4.971,0.0030,0.2854,0.2289,0.4324,0.0014,0.0008,1.1054,0.2002,0.3566,0.0083,0.1095,2.2392
2026-06-21T14:21:19.710,4.367,0.0029,0.4300,0.4086,0.4165,0.0014,0.0004,1.1884,0.2028,0.3703,0.0122,0.1017,1.2319
2026-06-21T14:21:20.234,4.155,0.0030,0.4449,0.4181,0.3919,0.0006,0.0008,1.1891,0.2135,0.1224,0.0000,0.1083,1.2629
2026-06-21T14:21:20.759,6.020,0.0032,0.3064,0.2263,0.3919,0.0014,0.0000,1.1239,0.1854,0.2003,0.0051,0.1077,3.4685
2026-06-21T14:21:21.283,4.891,0.0029,0.4807,0.4098,0.3866,0.0006,0.0008,1.2297,0.3055,0.3654,0.0000,0.1049,1.6045
2026-06-21T14:21:21.810,3.736,0.0030,0.4468,0.4189,0.3865,0.0006,0.0008,1.2056,0.1963,0.0935,0.0000,0.1058,0.8777
2026-06-21T14:21:22.336,4.383,0.0029,0.4061,0.4073,0.3900,0.0006,0.0008,1.1830,0.2026,0.1383,0.0006,0.1059,1.5452
2026-06-21T14:21:22.863,4.274,0.0030,0.4468,0.4195,0.3795,0.0006,0.0008,1.1845,0.2024,0.2673,0.0018,0.1065,1.2614
2026-06-21T14:21:23.491,4.748,0.0030,0.4482,0.4113,0.3778,0.0014,0.0000,1.0722,0.2041,0.0636,0.0196,0.1021,2.0442
2026-06-21T14:21:24.018,4.352,0.0029,0.4322,0.4185,0.4041,0.0012,0.0000,1.1797,0.2533,0.0552,0.0035,0.1079,1.4931
2026-06-21T14:21:24.542,5.102,0.0029,0.4648,0.4066,0.4008,0.0012,0.0000,1.2024,0.2036,0.1099,0.0009,0.1018,2.2075
2026-06-21T14:21:25.066,5.120,0.0029,0.3612,0.2275,0.4235,0.0012,0.0000,1.1248,0.2473,0.2672,0.0047,0.1052,2.3539
2026-06-21T14:21:25.594,3.945,0.0032,0.3925,0.4075,0.3777,0.0014,0.0008,1.1950,0.2032,0.0356,0.0009,0.1033,1.2234
2026-06-21T14:21:26.118,4.082,0.0032,0.4490,0.4159,0.3883,0.0014,0.0008,1.1726,0.1674,0.1054,0.0006,0.1080,1.2695
2026-06-21T14:21:26.643,8.251,0.0031,0.4564,0.4085,0.4427,0.0012,0.0000,1.1862,0.1965,0.1156,0.0038,0.1020,5.3351
2026-06-21T14:21:27.167,3.981,0.0029,0.3946,0.4079,0.3797,0.0006,0.0008,1.2243,0.1965,0.0346,0.0000,0.1008,1.2385
2026-06-21T14:21:27.692,3.834,0.0030,0.4435,0.4163,0.3831,0.0006,0.0008,1.1743,0.2545,0.1603,0.0000,0.1055,0.8920
2026-06-21T14:21:28.219,4.492,0.0029,0.4032,0.4062,0.4183,0.0012,0.0000,1.1894,0.1964,0.1396,0.0012,0.1044,1.6295
2026-06-21T14:21:28.743,4.285,0.0031,0.3398,0.2283,0.3727,0.0006,0.0008,1.0963,0.2593,0.2734,0.0095,0.1046,1.5962
2026-06-21T14:21:29.268,5.335,0.0029,0.4872,0.4096,0.4281,0.0006,0.0008,1.2218,0.2038,0.0920,0.0083,0.1040,2.3764
2026-06-21T14:21:29.793,4.435,0.0030,0.4222,0.4063,0.3862,0.0014,0.0000,1.2046,0.1989,0.1560,0.0003,0.1047,1.5517
2026-06-21T14:21:30.319,4.286,0.0033,0.2855,0.2275,0.4273,0.0006,0.0008,1.2189,0.2293,0.1999,0.0094,0.1098,1.5737
2026-06-21T14:21:30.845,3.611,0.0030,0.3922,0.4088,0.3762,0.0006,0.0008,1.1765,0.1708,0.0313,0.0000,0.1019,0.9488
2026-06-21T14:21:31.374,3.730,0.0031,0.4480,0.4194,0.3866,0.0006,0.0008,1.1490,0.2424,0.0952,0.0000,0.1048,0.8804
2026-06-21T14:21:31.900,4.835,0.0029,0.4085,0.4336,0.4254,0.0014,0.0000,1.5450,0.1963,0.1666,0.0000,0.1042,1.5512
2026-06-21T14:21:32.425,6.212,0.0032,0.2989,0.3294,0.4217,0.0014,0.0000,1.1986,0.1964,0.3002,0.0152,0.1060,3.3410
2026-06-21T14:21:32.950,3.543,0.0031,0.3938,0.4094,0.3693,0.0014,0.0002,1.1755,0.1999,0.0314,0.0000,0.1005,0.8581
2026-06-21T14:21:33.476,3.731,0.0029,0.4347,0.4189,0.3792,0.0006,0.0000,1.1823,0.2073,0.1113,0.0012,0.1074,0.8850
2026-06-21T14:21:34.004,4.426,0.0031,0.4077,0.4073,0.3880,0.0006,0.0002,1.1937,0.2075,0.1385,0.0000,0.1007,1.5787
2026-06-21T14:21:34.528,4.246,0.0031,0.3440,0.2296,0.3901,0.0006,0.0000,1.1079,0.2075,0.3746,0.0000,0.1054,1.4830
2026-06-21T14:21:35.054,4.886,0.0029,0.5199,0.4097,0.3685,0.0006,0.0002,1.2114,0.2616,0.0946,0.0044,0.1010,1.9111
2026-06-21T14:21:35.578,4.379,0.0032,0.4902,0.4189,0.3817,0.0014,0.0002,1.1927,0.1990,0.1597,0.0000,0.1068,1.4258
2026-06-21T14:21:36.103,6.626,0.0028,0.4667,0.4058,0.4057,0.0006,0.0008,1.1694,0.2111,0.3441,0.0078,0.1075,3.5036
2026-06-21T14:21:36.629,3.392,0.0028,0.3944,0.4084,0.3743,0.0006,0.0008,1.0460,0.1778,0.0355,0.0000,0.1016,0.8501
2026-06-21T14:21:37.154,4.129,0.0029,0.4510,0.4209,0.4131,0.0014,0.0000,1.1884,0.2043,0.0576,0.0000,0.1042,1.2853
2026-06-21T14:21:37.681,4.907,0.0032,0.4275,0.4061,0.3849,0.0014,0.0000,1.2047,0.2496,0.1274,0.0000,0.1082,1.9940
2026-06-21T14:21:38.205,4.187,0.0031,0.3413,0.2270,0.3797,0.0006,0.0008,1.0989,0.1892,0.3593,0.0006,0.1041,1.4820
2026-06-21T14:21:38.730,5.056,0.0032,0.4784,0.4080,0.3796,0.0006,0.0008,1.1982,0.2145,0.4369,0.0006,0.1199,1.8157
